epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,203.438,1.02864,0.72091,1.20905,0.83752,0.92769,0.92931,0.63874,1.02935,0.62477,1.27438,0.000703961,0.000703961,0.000703961
43,207.924,1.01774,0.70936,1.22062,0.85112,0.92175,0.92876,0.64671,1.04841,0.64215,1.28729,0.000686277,0.000686277,0.000686277
44,212.376,1.01825,0.71772,1.22085,0.8928,0.88672,0.93451,0.63589,1.04075,0.63676,1.28351,0.000668593,0.000668593,0.000668593
45,216.894,1.01991,0.70195,1.2122,0.85183,0.91304,0.93107,0.64997,1.01202,0.60468,1.26782,0.000650909,0.000650909,0.000650909
46,221.336,1.0116,0.67784,1.20518,0.85624,0.93571,0.93417,0.6533,1.06538,0.6037,1.30475,0.000633226,0.000633226,0.000633226
47,225.961,1.02556,0.68903,1.19946,0.889,0.87207,0.92804,0.63997,1.04055,0.6443,1.28986,0.000615542,0.000615542,0.000615542
48,230.407,1.01769,0.70653,1.21598,0.85668,0.91686,0.93114,0.65497,1.01223,0.60589,1.26272,0.000597858,0.000597858,0.000597858
49,235.047,1.00524,0.6939,1.2183,0.86725,0.91218,0.9335,0.66167,1.02813,0.59423,1.27928,0.000580174,0.000580174,0.000580174
50,239.975,1.00873,0.68587,1.1988,0.84278,0.89373,0.92313,0.62553,1.04048,0.83295,1.29137,0.00056249,0.00056249,0.00056249
51,244.406,1.00055,0.67818,1.18728,0.87326,0.91584,0.93776,0.65588,1.01937,0.5937,1.26264,0.000544806,0.000544806,0.000544806
52,249.008,0.98761,0.66267,1.17843,0.877,0.88889,0.93615,0.66649,1.02564,0.59483,1.27117,0.000527122,0.000527122,0.000527122
53,253.725,0.98397,0.67342,1.18599,0.87797,0.89939,0.93162,0.65418,1.03003,0.59891,1.27029,0.000509438,0.000509438,0.000509438
54,258.212,0.97629,0.65195,1.18705,0.85625,0.92255,0.9341,0.67299,0.99437,0.58554,1.24898,0.000491755,0.000491755,0.000491755
55,262.896,0.97533,0.66942,1.18067,0.84446,0.92936,0.93491,0.6609,1.02367,0.59374,1.27386,0.000474071,0.000474071,0.000474071
56,267.359,0.98446,0.65194,1.17582,0.83888,0.92985,0.93377,0.66757,1.00212,0.59478,1.25826,0.000456387,0.000456387,0.000456387
57,271.874,0.96765,0.65449,1.17918,0.8067,0.86719,0.90042,0.59568,1.07903,0.68148,1.31881,0.000438703,0.000438703,0.000438703
58,276.384,0.96352,0.65712,1.17232,0.88756,0.8832,0.9313,0.65277,1.01734,0.60731,1.26951,0.000421019,0.000421019,0.000421019
59,280.895,0.9782,0.65591,1.17971,0.86427,0.92225,0.92798,0.65093,1.04294,0.60519,1.27527,0.000403335,0.000403335,0.000403335
60,285.421,0.98821,0.64466,1.18943,0.85262,0.9111,0.92711,0.65174,1.00569,0.58791,1.25522,0.000385651,0.000385651,0.000385651
61,289.894,0.94649,0.62882,1.15335,0.84801,0.93931,0.9321,0.65139,1.00649,0.59955,1.25021,0.000367967,0.000367967,0.000367967
62,294.44,0.9377,0.61081,1.16328,0.86865,0.91883,0.92895,0.6605,1.01263,0.58351,1.26008,0.000350284,0.000350284,0.000350284
63,298.931,0.94678,0.60976,1.16143,0.86501,0.90887,0.92607,0.66032,1.01792,0.60363,1.27098,0.0003326,0.0003326,0.0003326
64,303.375,0.93962,0.61668,1.16732,0.83574,0.9346,0.9208,0.65748,1.00836,0.59191,1.25777,0.000314916,0.000314916,0.000314916
65,307.791,0.94047,0.63005,1.14377,0.89449,0.86416,0.92774,0.65685,1.00383,0.58348,1.25554,0.000297232,0.000297232,0.000297232
66,312.332,0.931,0.61441,1.14054,0.84804,0.91218,0.92607,0.6515,1.01232,0.59485,1.25956,0.000279548,0.000279548,0.000279548
67,316.826,0.93758,0.61317,1.15181,0.85181,0.92514,0.93364,0.65199,1.03386,0.61353,1.27426,0.000261864,0.000261864,0.000261864
68,321.254,0.9369,0.61688,1.14803,0.83383,0.93357,0.92936,0.65795,0.99652,0.57664,1.25393,0.00024418,0.00024418,0.00024418
69,325.699,0.91394,0.59369,1.14768,0.84528,0.93298,0.93531,0.65748,1.03528,0.56472,1.2764,0.000226497,0.000226497,0.000226497
70,330.093,0.92727,0.59802,1.15676,0.83408,0.938,0.93593,0.66538,1.00242,0.58079,1.25112,0.000208813,0.000208813,0.000208813
71,335.929,0.93359,0.6127,1.20331,0.8645,0.9147,0.92876,0.65157,1.02757,0.62052,1.28263,0.000191129,0.000191129,0.000191129
72,340.543,0.93619,0.58922,1.20255,0.85881,0.92734,0.93667,0.66623,1.01241,0.56779,1.26111,0.000173445,0.000173445,0.000173445
73,345.018,0.91084,0.55763,1.15937,0.89621,0.88194,0.93222,0.65727,0.99968,0.57546,1.25783,0.000155761,0.000155761,0.000155761
74,349.508,0.91086,0.55634,1.18508,0.87853,0.90653,0.93144,0.65844,1.00807,0.58536,1.25783,0.000138077,0.000138077,0.000138077
